GAME_ID,player_id,person_id,first_name,last_name,jersey_number,position_str,shots,shots_on,goals,assists,faceoff_wins,faceoff_attempts,plusminus,hits,pim,H_A,team_name,PP_G,PP_A1,PP_A2,EV_G,EV_A2,EV_GF,EV_GA,EV_A1,game_number,SH_A1,SH_A2,SH_G
1018605,28711,9062,Ryan,Michael,12,D,2,2,0,0,0,0,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28692,9043,Luke,Korte,14,LW,0,0,0,0,0,2,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28467,8810,Connor,Levis,15,RW,2,2,0,0,0,0,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28951,9394,Nathan,MacPherson-Ridgewell,17,LW,1,1,0,0,0,0,-2,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,0.0,0.0
1018605,28979,9458,Harrison,Brunicke,18,D,0,0,0,0,0,0,-1,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
1018605,28804,9198,Dylan,Sydor,23,RW,3,3,0,0,0,0,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,27976,8218,Ethan,Brandwood,24,RD,1,1,0,0,0,0,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,29056,9535,Ashton,Tait,25,C,0,0,0,0,4,12,-1,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
1018605,29169,9667,Nathan,Behm,27,C,0,0,0,0,0,0,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,27873,8070,Drew,Englot,32,C,3,3,0,0,15,24,0,0,2,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28176,8454,Ashton,Ferster,33,RW,2,2,0,0,0,0,-1,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
1018605,27862,8059,Ethan,Rowland,34,C,0,0,0,0,8,21,-1,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
1018605,28847,9255,Josh,Mori,2,D,2,2,0,0,0,0,0,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28114,8391,Robbie,Fromm-Delorme,11,RW,1,1,0,1,2,2,0,0,0,A,Portland Winterhawks,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28117,8394,Gabe,Klassen,16,C,8,8,2,0,11,19,+1,0,0,A,Portland Winterhawks,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28318,8639,Kyle,Chyzowski,19,C,2,2,0,1,0,0,+1,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0.0,0.0,0.0
1018605,28850,9258,Aiden,Sotas,20,C,0,0,0,0,0,0,0,0,2,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28320,8641,Jonah,Bevington,21,LW,0,0,0,0,0,2,0,0,2,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28851,9259,Josh,Zakreski,28,LW,4,4,0,0,0,1,+1,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28324,8645,Ryder,Thompson,43,D,2,2,0,1,0,0,+1,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28118,8395,Kurtis,Smythe,47,D,0,0,0,0,0,0,0,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28849,9257,Carter,Sotheran,59,D,2,2,0,0,0,0,+1,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28321,8642,Dawson,Pasternak,67,RW,2,2,0,0,0,0,+1,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28763,9132,Marcus,Nguyen,72,RW,4,4,1,0,0,0,+1,0,0,A,Portland Winterhawks,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28760,9129,Luca,Cagnoni,73,D,4,4,0,0,0,0,+2,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28815,9213,Luke,Schelter,77,RW,2,2,0,0,2,6,0,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,29006,9485,Diego,Buttazzoni,90,C,1,1,0,0,7,15,0,0,2,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,29258,9758,Alex,Thompson,91,D,2,2,0,0,0,0,0,0,2,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28323,8644,Jack,O'Brien,92,C,1,1,0,2,11,18,+1,0,2,A,Portland Winterhawks,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0.0,0.0,0.0
1018605,29099,9583,Nicholas,Johnson,93,C,1,1,0,0,3,5,0,0,0,A,Portland Winterhawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018606,28454,8797,Eric,Johnston,3,D,1,1,0,0,0,0,-3,0,2,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,0.0,0.0,0.0
1018606,28778,9148,Tayem,Gislason,5,D,0,0,0,0,0,0,0,0,0,H,Prince Albert Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0
