shots,points,EVprimarypoints,plusminus,SH_A1,pim,team_name,name,SH_A2,EV_G,hits,position_str,SH_G,faceoff_attempts,person_id,5v5_A2,EV_A2,EV_A1,PP_G,assists,jersey_number,GAME_ID,faceoff_wins,PP_A1,H_A,PP_A2,player_id,5v5_A1,goals,5v5primarypoints,game_number,5v5_G,birthdate_year,primarypoints
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Luke Santilli,0.0,0.0,0,RD,0.0,0,9582,0,0.0,0.0,0.0,0,2,11355,0,0.0,H,0.0,7514,0,0,0,2,0,2004,0.0
0,1,0.0,0,0.0,2,Cowichan Valley Capitals,Aaron Brown,0.0,0.0,0,D,0.0,0,9767,0,0.0,0.0,0.0,1,4,11355,0,1.0,H,0.0,7698,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Ian Kern,0.0,0.0,0,RD,0.0,0,7568,0,0.0,0.0,0.0,0,7,11355,0,0.0,H,0.0,5657,0,0,0,2,0,2002,0.0
0,0,0.0,0,0.0,2,Cowichan Valley Capitals,Connor Elliott,0.0,0.0,0,LD,0.0,0,8226,0,0.0,0.0,0.0,0,8,11355,0,0.0,H,0.0,6291,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Oliver Salo,0.0,0.0,0,RW,0.0,0,9762,0,0.0,0.0,0.0,0,9,11355,0,0.0,H,0.0,7693,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Owen Goodbrand,0.0,0.0,0,C,0.0,0,9845,0,0.0,0.0,0.0,0,11,11355,0,0.0,H,0.0,7776,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Adam Leitch,0.0,0.0,0,RD,0.0,0,8972,0,0.0,0.0,0.0,0,12,11355,0,0.0,H,0.0,6958,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Jackson Morehouse,0.0,0.0,0,RW,0.0,0,9172,0,0.0,0.0,0.0,0,13,11355,0,0.0,H,0.0,7156,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,2,Cowichan Valley Capitals,Brandon Clarke,0.0,0.0,0,LW,0.0,0,9592,0,0.0,0.0,0.0,0,14,11355,0,0.0,H,0.0,7524,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Turner Richards,0.0,0.0,0,LW,0.0,0,9859,0,0.0,0.0,0.0,0,15,11355,0,0.0,H,0.0,7790,0,0,0,2,0,2004,0.0
0,1,0.0,0,0.0,0,Cowichan Valley Capitals,Luke Strickland,0.0,0.0,0,LW,0.0,0,10017,0,0.0,0.0,1.0,0,16,11355,0,0.0,H,0.0,7937,0,1,0,2,0,2002,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Kai Dunits,0.0,0.0,0,C,0.0,0,9846,0,0.0,0.0,0.0,0,18,11355,0,0.0,H,0.0,7777,0,0,0,2,0,2004,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Andrew Haxton,0.0,0.0,0,RW,0.0,0,9765,0,0.0,0.0,0.0,0,19,11355,0,0.0,H,0.0,7696,0,0,0,2,0,2003,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Tyler Wood,0.0,0.0,0,C,0.0,0,9763,0,0.0,0.0,0.0,0,21,11355,0,0.0,H,0.0,7694,0,0,0,2,0,2006,0.0
0,0,0.0,0,0.0,2,Cowichan Valley Capitals,Luke Busby,0.0,0.0,0,D,0.0,0,9903,0,0.0,0.0,0.0,0,22,11355,0,0.0,H,0.0,7826,0,0,0,2,0,2002,0.0
0,1,0.0,0,0.0,0,Cowichan Valley Capitals,Logan Camp,0.0,0.0,0,C,0.0,0,10058,0,0.0,0.0,0.0,1,23,11355,0,0.0,H,1.0,7948,0,0,0,2,0,2002,0.0
0,0,0.0,0,0.0,0,Cowichan Valley Capitals,Massimo Sarantos Lombardi,0.0,0.0,0,C,0.0,0,9070,0,0.0,0.0,0.0,0,26,11355,0,0.0,H,0.0,7056,0,0,0,2,0,2002,0.0
